Ice_cod7_sorted 	 19.9383
Ice_cod8_sorted 	 19.6272
Ice_cod9_sorted 	 16.8017
Ice_cod_test_10_sorted 	 6.3915
Ice_cod_test_11_sorted 	 6.7343
Ice_cod_test_12_sorted 	 6.03577
Ice_cod_test_3_sorted 	 4.89691
Ice_cod_test_5_sorted 	 6.08109
Ice_cod_test_6_sorted 	 6.21652
Ice_cod_test_7_sorted 	 6.18741
Ice_cod_test_8_sorted 	 6.39137
Ice_cod_test_9_sorted 	 7.19825
Ice_cod_test_sorted 	 5.40929
PC_06_sorted 	 10.0788
PC_07_sorted 	 8.20651
PC_08_sorted 	 8.04029
